id	name	parentid	order
1103	龙沙	183	1
1104	建华	183	2
1105	铁锋	183	3
1106	昂昂溪	183	4
1107	富拉尔基	183	5
1108	碾子山	183	6
1109	梅里斯	183	7
1110	龙江	183	8
1111	依安	183	9
1112	泰来	183	10
1113	甘南	183	11
1114	富裕	183	12
1115	克山	183	13
1116	克东	183	14
1117	拜泉	183	15
1118	讷河	183	16
1119	鸡冠	184	1
1120	恒山	184	2
1121	滴道	184	3
1122	梨树	184	4
1123	城子河	184	5
1124	麻山	184	6
1125	鸡东	184	7
1126	虎林	184	8
1127	密山	184	9
1128	向阳	185	1
1129	工农	185	2
1130	南山	185	3
1131	兴安	185	4
1132	东山	185	5
1133	兴山	185	6
1134	萝北	185	7
1135	绥滨	185	8
1136	尖山	186	1
1137	岭东	186	2
1138	四方台	186	3
1139	宝山	186	4
1140	集贤	186	5
1141	友谊	186	6
1142	宝清	186	7
1143	饶河	186	8
1144	萨尔图	187	1
1145	龙凤	187	2
1146	让胡路	187	3
1147	红岗	187	4
1148	大同	187	5
1149	肇州	187	6
1150	肇源	187	7
1151	林甸	187	8
1152	杜尔伯特	187	9
1153	伊春	188	1
1154	南岔	188	2
1155	友好	188	3
1156	西林	188	4
1157	翠峦	188	5
1158	新青	188	6
1159	美溪	188	7
1160	金山屯	188	8
1161	五营	188	9
1162	乌马河	188	10
1163	汤旺河	188	11
1164	带岭	188	12
1165	乌伊岭	188	13
1166	红星	188	14
1167	上甘岭	188	15
1168	嘉荫	188	16
1169	铁力	188	17
1170	向阳	189	1
1171	前进	189	2
1172	东风	189	3
1173	郊区	189	4
1174	桦南	189	5
1175	桦川	189	6
1176	汤原	189	7
1177	抚远	189	8
1178	同江	189	9
1179	富锦	189	10
1180	新兴	190	1
1181	桃山	190	2
1182	茄子河	190	3
1183	勃利	190	4
1184	东安	191	1
1185	阳明	191	2
1186	爱民	191	3
1187	西安	191	4
1188	东宁	191	5
1189	林口	191	6
1190	绥芬河	191	7
1191	海林	191	8
1192	宁安	191	9
1193	穆棱	191	10
1194	爱辉	192	1
1195	嫩江	192	2
1196	逊克	192	3
1197	孙吴	192	4
1198	北安	192	5
1199	五大连池	192	6
1200	北林	193	1
1201	望奎	193	2
1202	兰西	193	3
1203	青冈	193	4
1204	庆安	193	5
1205	明水	193	6
1206	绥棱	193	7
1207	安达	193	8
1208	肇东	193	9
1209	海伦	193	10
1210	加格达奇	194	1
1211	松岭	194	2
1212	新林	194	3
1213	呼中	194	4
1214	呼玛	194	5
1215	塔河	194	6
1216	漠河	194	7
1217	玄武	195	1
1218	秦淮	195	2
1219	建邺	195	3
1220	鼓楼	195	4
1221	浦口	195	5
1222	栖霞	195	6
1223	雨花台	195	7
1224	江宁	195	8
1225	六合	195	9
1226	溧水	195	10
1227	高淳	195	11
1228	崇安	196	1
1229	南长	196	2
1230	北塘	196	3
1231	锡山	196	4
1232	惠山	196	5
1233	滨湖	196	6
1234	江阴	196	7
1235	宜兴	196	8
1236	鼓楼	197	1
1237	云龙	197	2
1238	贾汪	197	3
1239	泉山	197	4
1240	铜山	197	5
1241	丰县	197	6
1242	沛县	197	7
1243	睢宁	197	8
1244	新沂	197	9
1245	邳州	197	10
1246	天宁	198	1
1247	钟楼	198	2
1248	戚墅堰	198	3
1249	新北	198	4
1250	武进	198	5
1251	溧阳	198	6
1252	金坛	198	7
1253	虎丘	199	1
1254	吴中	199	2
1255	相城	199	3
1256	姑苏	199	4
1257	吴江	199	5
1258	常熟	199	6
1259	张家港	199	7
1260	昆山	199	8
1261	太仓	199	9
1262	崇川	200	1
1263	港闸	200	2
1264	通州	200	3
1265	海安	200	4
1266	如东	200	5
1267	启东	200	6
1268	如皋	200	7
1269	海门	200	8
1270	连云	201	1
1271	新浦	201	2
1272	海州	201	3
1273	赣榆	201	4
1274	东海	201	5
1275	灌云	201	6
1276	灌南	201	7
1277	清河	202	1
1278	淮安	202	2
1279	淮阴	202	3
1280	清浦	202	4
1281	涟水	202	5
1282	洪泽	202	6
1283	盱眙	202	7
1284	金湖	202	8
1285	亭湖	203	1
1286	盐都	203	2
1287	响水	203	3
1288	滨海	203	4
1289	阜宁	203	5
1290	射阳	203	6
1291	建湖	203	7
1292	东台	203	8
1293	大丰	203	9
1294	广陵	204	1
1295	邗江	204	2
1296	江都	204	3
1297	宝应	204	4
1298	仪征	204	5
1299	高邮	204	6
1300	京口	205	1
1301	润州	205	2
1302	丹徒	205	3
1303	丹阳	205	4
1304	扬中	205	5
1305	句容	205	6
1306	海陵	206	1
1307	高港	206	2
1308	兴化	206	3
1309	靖江	206	4
1310	泰兴	206	5
1311	姜堰	206	6
1312	宿城	207	1
1313	宿豫	207	2
1314	沭阳	207	3
1315	泗阳	207	4
1316	泗洪	207	5
1317	上城	208	1
1318	下城	208	2
1319	江干	208	3
1320	拱墅	208	4
1321	西湖	208	5
1322	滨江	208	6
1323	萧山	208	7
1324	余杭	208	8
1325	桐庐	208	9
1326	淳安	208	10
1327	建德	208	11
1328	富阳	208	12
1329	临安	208	13
1330	海曙	209	1
1331	江东	209	2
1332	江北	209	3
1333	北仑	209	4
